1912,543,1993,543,1993,625,1912,625
1662,550,1768,550,1768,1087,1662,1087
1912,612,2012,612,2012,993,1912,993
2031,731,2131,731,2131,1250,2031,1250
1556,818,1643,818,1643,1093,1556,1093
1800,912,1868,912,1868,1062,1800,1062
1912,975,2012,975,2012,1418,1912,1418
1656,1062,1762,1062,1762,1168,1656,1168
1562,1081,1637,1081,1637,1175,1562,1175
1681,1156,1775,1156,1775,1500,1681,1500
1568,1418,1662,1418,1662,1593,1568,1593
1456,1425,1537,1425,1537,1637,1456,1637
1681,1487,1775,1487,1775,1662,1681,1662
1779,1500,1886,1498,1913,2593,1807,2595
1906,1612,2006,1612,2006,2106,1906,2106
1687,1650,1781,1650,1781,1812,1687,1812
1462,1675,1556,1675,1556,1968,1462,1968
1575,1725,1668,1725,1668,1900,1575,1900
1249,1757,1330,1753,1344,2042,1264,2046
1687,1806,1787,1806,1787,2462,1687,2462
1362,1818,1443,1818,1443,1906,1362,1906
1362,1887,1450,1887,1450,1987,1362,1987
1571,1951,1670,1946,1724,3167,1624,3172
1475,2031,1556,2031,1556,2193,1475,2193
1268,2050,1356,2050,1356,2193,1268,2193
1918,2087,1987,2087,1987,2162,1918,2162
1912,2156,2006,2156,2006,2318,1912,2318
1275,2175,1356,2175,1356,2268,1275,2268
1287,2256,1393,2256,1393,2462,1287,2462
1918,2299,2018,2299,2018,2668,1918,2668
1487,2318,1575,2318,1575,2537,1487,2537
981,2437,1062,2437,1062,2606,981,2606
1693,2446,1784,2439,1801,2666,1711,2673
1081,2450,1168,2450,1168,2606,1081,2606
1300,2456,1368,2456,1368,2525,1300,2525
1490,2514,1589,2509,1621,3168,1522,3172
1818,2581,1906,2581,1906,2800,1818,2800
1000,2587,1068,2587,1068,2662,1000,2662
1100,2587,1187,2587,1187,2731,1100,2731
1000,2650,1068,2650,1068,2731,1000,2731
1712,2656,1806,2656,1806,2918,1712,2918
1312,2731,1375,2731,1375,2856,1312,2856
806,2768,887,2768,887,2868,806,2868
1825,2781,1918,2781,1918,3112,1825,3112
1306,2851,1402,2844,1459,3616,1363,3623
812,2900,900,2900,900,3000,812,3000
1713,2901,1808,2895,1840,3397,1745,3403
837,3006,925,3006,925,3125,837,3125
1837,3093,1918,3093,1918,3225,1837,3225
843,3137,931,3137,931,3237,843,3237
1525,3150,1612,3150,1612,3281,1525,3281
1637,3150,1725,3150,1725,3543,1637,3543
862,3250,931,3250,931,3337,862,3337
1537,3262,1625,3262,1625,3456,1537,3456
1556,3437,1618,3437,1618,3506,1556,3506
