943,162,1462,162,1462,412,943,412
525,181,918,181,918,437,525,437
918,462,1393,462,1393,556,918,556
675,468,887,468,887,562,675,562
1068,550,1175,550,1175,662,1068,662
1175,550,1350,550,1350,668,1175,668
826,537,1098,578,1080,699,808,659
1350,568,1475,568,1475,662,1350,662
618,581,818,581,818,668,618,668
1018,831,1087,831,1087,893,1018,893
1081,837,1118,837,1118,893,1081,893
2943,887,3125,887,3125,1006,2943,1006
3485,1004,3907,843,3999,1084,3577,1245
3537,906,3731,906,3731,1006,3537,1006
2425,931,2612,931,2612,1056,2425,1056
2256,937,2450,937,2450,1056,2256,1056
1825,962,2062,962,2062,1156,1825,1156
2868,975,3137,975,3137,1137,2868,1137
1706,987,1862,987,1862,1162,1706,1162
3125,996,3285,1006,3279,1103,3119,1093
2256,1043,2443,1043,2443,1162,2256,1162
3025,1050,3156,1050,3156,1143,3025,1143
2443,1062,2556,1062,2556,1156,2443,1156
3550,1062,3681,1062,3681,1156,3550,1156
1712,1143,2068,1143,2068,1218,1712,1218
2731,1268,2862,1268,2862,1331,2731,1331
2675,1275,2737,1275,2737,1393,2675,1393
1663,1291,1835,1302,1830,1378,1658,1368
1821,1315,2065,1298,2071,1372,1826,1390
2718,1325,2850,1325,2850,1387,2718,1387
2693,1406,2762,1406,2762,1537,2693,1537
2762,1412,2837,1412,2837,1468,2762,1468
1718,1418,1868,1418,1868,1500,1718,1500
1862,1431,2018,1431,2018,1500,1862,1500
2762,1462,2850,1462,2850,1537,2762,1537
3312,1462,3450,1462,3450,1531,3312,1531
1737,1487,1887,1487,1887,1550,1737,1550
1881,1493,1968,1493,1968,1550,1881,1550
3243,1525,3493,1525,3493,1587,3243,1587
1712,1543,1887,1543,1887,1606,1712,1606
1887,1550,2012,1550,2012,1612,1887,1612
1731,1587,1806,1587,1806,1662,1731,1662
3250,1581,3456,1581,3456,1775,3250,1775
1787,1593,1862,1593,1862,1650,1787,1650
3406,1593,3500,1593,3500,1693,3406,1693
1862,1600,1937,1600,1937,1662,1862,1662
3259,1772,3471,1671,3524,1782,3312,1883
215,1713,530,1701,535,1828,220,1840
1630,1710,1973,1741,1957,1929,1614,1899
1931,1750,2075,1750,2075,1937,1931,1937
112,1837,462,1837,462,1968,112,1968
1612,1887,1843,1887,1843,2075,1612,2075
1806,1912,1956,1912,1956,2093,1806,2093
1925,1925,2050,1925,2050,2093,1925,2093
137,1975,356,1975,356,2100,137,2100
218,2225,612,2225,612,2450,218,2450
81,2250,256,2250,256,2462,81,2462
1551,2378,1789,2420,1763,2565,1526,2523
188,2450,579,2398,606,2601,215,2653
1750,2418,1950,2418,1950,2562,1750,2562
68,2462,243,2462,243,2643,68,2643
1525,2543,1743,2543,1743,2675,1525,2675
