1690,590,1794,595,1774,1071,1669,1066
1937,962,2031,962,2031,1075,1937,1075
1683,1142,1783,1144,1773,1670,1673,1668
1812,1150,1906,1150,1906,1431,1812,1431
1793,1500,1881,1500,1881,1668,1793,1668
1906,1656,2012,1656,2012,2156,1906,2156
1806,1662,1893,1662,1893,1850,1806,1850
1681,1675,1768,1675,1768,1831,1681,1831
1787,1825,1893,1825,1893,2668,1787,2668
1678,1830,1775,1831,1768,2381,1670,2380
1568,1843,1650,1843,1650,1912,1568,1912
1556,1988,1649,1986,1660,2655,1567,2657
1918,2137,1981,2137,1981,2206,1918,2206
1906,2206,2006,2206,2006,2375,1906,2375
1675,2356,1762,2356,1762,2731,1675,2731
1899,2349,2006,2349,2006,2743,1899,2743
1457,2575,1553,2573,1570,3243,1473,3245
1800,2650,1887,2650,1887,2875,1800,2875
1687,2725,1775,2725,1775,2925,1687,2925
1787,2850,1893,2850,1893,3068,1787,3068
1576,2912,1667,2911,1681,3580,1590,3582
1693,2912,1762,2912,1762,2987,1693,2987
1682,2982,1778,2978,1791,3361,1695,3364
1481,3225,1568,3225,1568,3537,1481,3537
