1650,656,1768,656,1768,768,1650,768
1787,662,1925,662,1925,775,1787,775
1900,668,2056,668,2056,781,1900,781
2034,661,2873,703,2866,838,2027,796
1637,762,1793,762,1793,912,1637,912
1775,775,1912,775,1912,893,1775,893
1893,775,2043,775,2043,918,1893,918
2056,787,2212,787,2212,925,2056,925
2187,800,2350,800,2350,918,2187,918
2331,800,2481,800,2481,937,2331,937
2463,809,2852,819,2849,946,2460,937
1631,887,1787,887,1787,1506,1631,1506
1900,887,2056,887,2056,1275,1900,1275
1775,900,1918,900,1918,1037,1775,1037
2056,906,2212,906,2212,1031,2056,1031
2187,912,2343,912,2343,1037,2187,1037
2331,912,2487,912,2487,1037,2331,1037
2470,925,2860,944,2854,1060,2464,1042
1768,1006,1925,1006,1925,1268,1768,1268
2050,1012,2206,1012,2206,1150,2050,1150
2193,1018,2343,1018,2343,1143,2193,1143
2325,1037,2481,1037,2481,1156,2325,1156
2468,1037,2731,1037,2731,1162,2468,1162
2043,1143,2200,1143,2200,1268,2043,1268
2189,1138,2622,1158,2617,1286,2183,1267
2593,1168,2725,1168,2725,1293,2593,1293
1762,1256,1918,1256,1918,1512,1762,1512
1893,1256,2050,1256,2050,1400,1893,1400
2037,1275,2200,1275,2200,1393,2037,1393
2181,1275,2350,1275,2350,1393,2181,1393
2326,1269,2616,1283,2610,1412,2320,1398
2587,1287,2731,1287,2731,1412,2587,1412
1898,1366,2208,1396,2195,1531,1885,1502
2176,1396,2734,1413,2730,1537,2172,1520
