1977,762,2296,723,2354,1197,2034,1236
1293,1012,1537,1012,1537,1325,1293,1325
1106,1068,1325,1068,1325,1362,1106,1362
1407,1435,1602,1438,1581,2945,1386,2943
546,1576,688,1591,583,2616,441,2601
1981,2068,2087,2068,2087,2137,1981,2137
1856,2090,1989,2068,2001,2139,1868,2161
1775,2093,1875,2093,1875,2162,1775,2162
1712,2100,1781,2100,1781,2162,1712,2162
1962,2137,2087,2137,2087,2237,1962,2237
2025,2137,2087,2137,2087,2193,2025,2193
1893,2143,1962,2143,1962,2206,1893,2206
1831,2150,1900,2150,1900,2212,1831,2212
1775,2156,1837,2156,1837,2212,1775,2212
1718,2162,1768,2162,1768,2218,1718,2218
1881,2200,1968,2200,1968,2243,1881,2243
1722,2214,1887,2204,1889,2245,1725,2254
1925,2237,2075,2237,2075,2281,1925,2281
1729,2250,1924,2240,1926,2282,1731,2293
1767,2285,2037,2276,2038,2317,1769,2326
2006,2312,2093,2312,2093,2343,2006,2343
1725,2318,1987,2318,1987,2343,1725,2343
