531,1006,737,1006,737,1162,531,1162
737,1025,862,1025,862,1156,737,1156
868,1043,993,1043,993,1162,868,1162
537,1181,650,1181,650,1293,537,1293
656,1181,993,1181,993,1293,656,1293
1468,1293,1593,1293,1593,1456,1468,1456
2094,1377,2318,1366,2325,1517,2102,1528
1862,1382,2072,1371,2079,1518,1870,1528
1793,1531,2062,1531,2062,1800,1793,1800
2062,1543,2418,1543,2418,1793,2062,1793
1475,1600,1606,1600,1606,1862,1475,1862
1937,1793,2093,1793,2093,1893,1937,1893
2118,1812,2237,1812,2237,1887,2118,1887
1462,1931,1606,1931,1606,2825,1462,2825
1468,2925,1600,2925,1600,3206,1468,3206
1468,3268,1606,3268,1606,3462,1468,3462
