2012,731,2137,731,2137,893,2012,893
2567,737,2689,745,2657,1211,2536,1203
2150,750,2281,750,2281,1031,2150,1031
2303,782,2430,789,2401,1304,2274,1297
2443,825,2537,825,2537,962,2443,962
2001,863,2135,870,2097,1697,1964,1691
2429,938,2542,945,2460,2311,2348,2304
1250,981,1393,981,1393,1287,1250,1287
2142,1001,2275,1007,2210,2454,2076,2448
1438,1047,1583,1050,1571,1646,1426,1643
2537,1181,2650,1181,2650,1331,2537,1331
2278,1270,2399,1277,2384,1535,2263,1529
2525,1306,2637,1306,2637,1537,2525,1537
2256,1512,2368,1512,2368,1656,2256,1656
2528,1512,2634,1521,2604,1868,2498,1859
2248,1627,2371,1632,2341,2434,2218,2430
2510,1844,2613,1852,2568,2406,2465,2398
2356,2287,2450,2287,2450,2425,2356,2425
668,2893,750,2893,750,2937,668,2937
484,2923,622,2893,635,2955,497,2985
618,2912,656,2912,656,2950,618,2950
906,2918,968,2918,968,2968,906,2968
850,2937,912,2937,912,2981,850,2981
940,2963,1024,2953,1029,2993,945,3004
853,2985,938,2961,950,3004,865,3028
668,2981,750,2981,750,3025,668,3025
654,3034,859,2986,870,3033,665,3081
906,3006,987,3006,987,3056,906,3056
