201,1656,1087,1656,1087,2390,201,2390
1843,1692,2707,1692,2707,2455,1843,2455
3636,2884,4602,2898,4600,3041,3634,3027
4226,2995,4356,2995,4356,3132,4226,3132
4327,3002,4456,3002,4456,3132,4327,3132
4428,3009,4572,3009,4572,3132,4428,3132
4137,3291,4376,3280,4380,3369,4141,3380
3837,3290,3945,3290,3945,3384,3837,3384
3924,3290,4017,3290,4017,3384,3924,3384
4370,3290,4464,3290,4464,3376,4370,3376
3765,3297,3852,3297,3852,3369,3765,3369
3996,3297,4075,3297,4075,3369,3996,3369
4312,3355,4406,3355,4406,3448,4312,3448
3780,3362,3873,3362,3873,3448,3780,3448
3859,3362,3952,3362,3952,3448,3859,3448
3938,3362,4032,3362,4032,3448,3938,3448
4010,3362,4096,3362,4096,3448,4010,3448
4233,3362,4334,3362,4334,3448,4233,3448
4392,3362,4485,3362,4485,3448,4392,3448
4161,3369,4255,3369,4255,3448,4161,3448
