1100,843,1237,843,1237,1075,1100,1075
1475,1006,2300,1006,2300,2687,1475,2687
2387,1150,2475,1150,2475,1281,2387,1281
1100,1164,1273,1159,1318,2741,1145,2746
2400,1331,2493,1331,2493,1500,2400,1500
2403,1526,2525,1519,2552,1953,2430,1961
443,1918,643,1918,643,1975,443,1975
562,1956,718,1956,718,2018,562,2018
368,1962,475,1962,475,2018,368,2018
468,1962,575,1962,575,2018,468,2018
2456,2000,2568,2000,2568,2187,2456,2187
431,2018,525,2018,525,2062,431,2062
518,2018,662,2018,662,2062,518,2062
2475,2187,2587,2187,2587,2425,2475,2425
2500,2456,2593,2456,2593,2625,2500,2625
