2525,943,2693,943,2693,1037,2525,1037
2675,943,2768,943,2768,1031,2675,1031
2750,943,2843,943,2843,1031,2750,1031
1025,1018,1187,1018,1187,1112,1025,1112
2006,1018,2243,1018,2243,1118,2006,1118
1712,1025,1875,1025,1875,1118,1712,1118
1856,1025,2025,1025,2025,1125,1856,1125
2218,1018,2475,1018,2475,1200,2218,1200
2450,1025,2537,1025,2537,1118,2450,1118
2525,1025,2612,1025,2612,1118,2525,1118
1487,1031,1575,1031,1575,1112,1487,1112
1556,1031,1650,1031,1650,1187,1556,1187
2600,1031,2681,1031,2681,1100,2600,1100
1712,1106,1950,1106,1950,1193,1712,1193
1931,1106,2243,1106,2243,1193,1931,1193
1631,1112,1725,1112,1725,1187,1631,1187
1556,1181,2312,1181,2312,1275,1556,1275
1125,1187,1431,1187,1431,1268,1125,1268
1418,1187,1493,1187,1493,1268,1418,1268
1481,1193,1575,1193,1575,1268,1481,1268
1431,1406,1493,1406,1493,1481,1431,1481
912,1487,1000,1487,1000,1568,912,1568
981,1487,1368,1487,1368,1575,981,1575
1356,1493,1431,1493,1431,1562,1356,1562
1001,1551,1154,1564,1147,1649,994,1636
1131,1556,1368,1556,1368,1643,1131,1643
1356,1562,1437,1562,1437,1637,1356,1637
2150,1562,2287,1562,2287,1631,2150,1631
2283,1570,2435,1557,2441,1623,2288,1636
856,1631,1156,1631,1156,1718,856,1718
1143,1631,1443,1631,1443,1712,1143,1712
2081,1637,2218,1637,2218,1706,2081,1706
2212,1637,2293,1637,2293,1706,2212,1706
2425,1637,2506,1637,2506,1706,2425,1706
1581,1837,1875,1837,1875,1931,1581,1931
2012,1837,2425,1837,2425,1925,2012,1925
937,1843,1025,1843,1025,1931,937,1931
1006,1843,1443,1843,1443,1931,1006,1931
1443,1843,1587,1843,1587,1918,1443,1918
1078,1914,1323,1903,1327,1982,1082,1993
2468,1906,2612,1906,2612,1975,2468,1975
2000,1912,2212,1912,2212,1975,2000,1975
2200,1912,2337,1912,2337,1968,2200,1968
881,1915,1028,1925,1023,1991,877,1981
2131,1968,2425,1968,2425,2050,2131,2050
2468,1975,2681,1975,2681,2043,2468,2043
881,1981,1662,1981,1662,2062,881,2062
1793,1981,2006,1981,2006,2050,1793,2050
2000,1981,2137,1981,2137,2043,2000,2043
1850,2162,2612,2162,2612,2312,1850,2312
2656,2168,2731,2168,2731,2237,2656,2237
1925,2175,2062,2175,2062,2243,1925,2243
2593,2175,2668,2175,2668,2237,2593,2237
975,2181,1118,2181,1118,2250,975,2250
1106,2181,1181,2181,1181,2250,1106,2250
1168,2175,1393,2175,1393,2318,1168,2318
1375,2181,1456,2181,1456,2250,1375,2250
1375,2175,1675,2175,1675,2318,1375,2318
2056,2181,2131,2181,2131,2243,2056,2243
2597,2250,2723,2240,2727,2287,2600,2297
1043,2243,1125,2243,1125,2325,1043,2325
1112,2243,1256,2243,1256,2312,1112,2312
968,2256,1050,2256,1050,2318,968,2318
2193,2300,2725,2300,2725,2368,2193,2368
1525,2306,1668,2306,1668,2375,1525,2375
1725,2306,1862,2306,1862,2375,1725,2375
1850,2306,1931,2306,1931,2375,1850,2375
1918,2306,2062,2306,2062,2368,1918,2368
2050,2306,2206,2306,2206,2375,2050,2375
906,2312,1543,2312,1543,2393,906,2393
1656,2312,1737,2312,1737,2375,1656,2375
2706,2481,2775,2481,2775,2556,2706,2556
1393,2493,1475,2493,1475,2575,1393,2575
931,2500,1150,2500,1150,2631,931,2631
1075,2500,1350,2500,1350,2687,1075,2687
1331,2500,1406,2500,1406,2568,1331,2568
1456,2500,1543,2500,1543,2562,1456,2562
1531,2500,1612,2500,1612,2562,1531,2562
1600,2500,1675,2500,1675,2562,1600,2562
1662,2500,1731,2500,1731,2562,1662,2562
1328,2560,1548,2550,1551,2624,1332,2633
2306,2556,2450,2556,2450,2612,2306,2612
2437,2556,2506,2556,2506,2612,2437,2612
2568,2556,2637,2556,2637,2612,2568,2612
868,2562,943,2562,943,2675,868,2675
1006,2562,1075,2562,1075,2625,1006,2625
1281,2568,1343,2568,1343,2631,1281,2631
2700,2606,2756,2606,2756,2668,2700,2668
1012,2618,1081,2618,1081,2681,1012,2681
