753,936,1283,992,1270,1115,740,1058
422,991,1552,1108,1539,1232,409,1115
791,1132,1221,1176,1210,1282,781,1237
425,1231,518,1231,518,1325,425,1325
501,1237,786,1264,777,1355,493,1328
851,1268,1124,1295,1116,1380,842,1353
1100,1300,1162,1300,1162,1362,1100,1362
1225,1312,1356,1312,1356,1387,1225,1387
1337,1318,1468,1318,1468,1393,1337,1393
475,1325,600,1325,600,1381,475,1381
587,1325,700,1325,700,1387,587,1387
1456,1337,1512,1337,1512,1456,1456,1456
926,1350,1103,1361,1099,1421,922,1411
431,1375,512,1375,512,1456,431,1456
1225,1375,1350,1375,1350,1443,1225,1443
1337,1381,1412,1381,1412,1456,1337,1456
1393,1381,1468,1381,1468,1456,1393,1456
493,1387,575,1387,575,1450,493,1450
564,1382,773,1400,767,1472,558,1454
852,1395,1118,1419,1110,1504,844,1480
1093,1431,1162,1431,1162,1487,1093,1487
1251,1434,1503,1452,1499,1514,1247,1496
475,1446,753,1463,749,1527,472,1511
856,1481,918,1481,918,1537,856,1537
962,1481,1043,1481,1043,1543,962,1543
1031,1487,1100,1487,1100,1550,1031,1550
1100,1493,1162,1493,1162,1550,1100,1550
1226,1487,1510,1507,1504,1581,1221,1561
425,1509,771,1524,768,1608,422,1593
851,1528,1110,1549,1104,1621,845,1599
1100,1550,1156,1550,1156,1612,1100,1612
1225,1562,1337,1562,1337,1631,1225,1631
1325,1568,1400,1568,1400,1637,1325,1637
1387,1568,1456,1568,1456,1637,1387,1637
1443,1575,1500,1575,1500,1637,1443,1637
475,1593,737,1593,737,1662,475,1662
850,1600,925,1600,925,1668,850,1668
913,1598,1110,1613,1104,1684,908,1669
1093,1618,1156,1618,1156,1675,1093,1675
1218,1625,1281,1625,1281,1687,1218,1687
1268,1625,1337,1625,1337,1687,1268,1687
1331,1625,1400,1625,1400,1687,1331,1687
1387,1625,1456,1625,1456,1693,1387,1693
1443,1631,1500,1631,1500,1693,1443,1693
431,1650,506,1650,506,1725,431,1725
488,1647,765,1659,762,1733,485,1720
843,1668,925,1668,925,1743,843,1743
956,1668,1043,1668,1043,1743,956,1743
1031,1668,1100,1668,1100,1737,1031,1737
1093,1681,1156,1681,1156,1737,1093,1737
1218,1681,1281,1681,1281,1743,1218,1743
1275,1687,1337,1687,1337,1750,1275,1750
1331,1687,1393,1687,1393,1756,1331,1756
1387,1687,1500,1687,1500,1756,1387,1756
431,1712,506,1712,506,1793,431,1793
493,1718,637,1718,637,1787,493,1787
625,1725,712,1725,712,1800,625,1800
693,1725,762,1725,762,1793,693,1793
837,1731,912,1731,912,1800,837,1800
831,1731,1043,1731,1043,1868,831,1868
1025,1743,1100,1743,1100,1806,1025,1806
1093,1743,1150,1743,1150,1800,1093,1800
1212,1743,1400,1743,1400,1818,1212,1818
1381,1750,1450,1750,1450,1818,1381,1818
1437,1756,1500,1756,1500,1812,1437,1812
