2231,143,2400,143,2400,275,2231,275
712,450,900,450,900,675,712,675
3157,570,3277,587,3267,660,3147,643
3264,600,3392,625,3379,690,3251,665
3376,626,3507,645,3498,712,3366,693
3118,643,3243,643,3243,750,3118,750
693,637,951,647,893,2101,634,2091
3237,668,3325,668,3325,768,3237,768
3312,681,3450,681,3450,793,3312,793
3437,706,3543,706,3543,812,3437,812
3287,787,3381,787,3381,837,3287,837
3118,793,3218,793,3218,881,3118,881
3381,793,3506,793,3506,856,3381,856
3206,818,3268,818,3268,881,3206,881
3263,825,3426,852,3415,918,3252,891
419,836,571,847,531,1395,378,1384
3407,850,3539,869,3529,935,3397,916
2005,1047,2114,1051,2085,1796,1977,1792
3257,1069,3372,1067,3386,2293,3271,2294
618,2068,856,2068,856,2387,618,2387
