2087,254,2146,257,2136,452,2077,449
1731,268,2081,268,2081,687,1731,687
1412,268,1787,268,1787,700,1412,700
1100,281,1475,281,1475,687,1100,687
781,293,1150,293,1150,681,781,681
725,337,793,337,793,406,725,406
737,393,806,393,806,512,737,512
2087,448,2133,450,2124,651,2079,649
768,625,806,625,806,681,768,681
2081,643,2118,643,2118,687,2081,687
1212,1050,1356,1050,1356,1225,1212,1225
1437,1050,1562,1050,1562,1225,1437,1225
1331,1056,1468,1056,1468,1225,1331,1225
1543,1056,1693,1056,1693,1225,1543,1225
731,1512,818,1512,818,1656,731,1656
2033,1509,2152,1500,2204,2246,2085,2254
718,1643,818,1643,818,1950,718,1950
705,1940,813,1945,791,2391,683,2385
2512,2145,2598,2138,2651,2761,2564,2768
346,2146,424,2152,379,2760,301,2754
2093,2237,2187,2237,2187,2393,2093,2393
647,2398,785,2400,774,3245,636,3243
2095,2413,2197,2409,2219,2911,2116,2915
2131,2893,2218,2893,2218,3081,2131,3081
2137,3075,2231,3075,2231,3237,2137,3237
1056,3862,1843,3862,1843,3993,1056,3993
